Art.-Nr.,Name des Produkts,Gebinde,Kategorie,Top-Angebot,Unterkategorie,Preis Einzeln(CHF),Preis Pack (CHF),Notiz für Gebinde für claude zum bearbeiten
13695,Rosé Lemanic 75 cl,Einzeln,Wein,FALSE,Rosé,5.70,,
88177,Rosière Chardonnay 75 cl,Einzeln,Wein,FALSE,Weisswein,4.80,,
88337,Rosière Rosé 75 cl,Einzeln,Wein,FALSE,Rosé,4.80,,
88610,Rosière Syrah 75 cl,Einzeln,Wein,FALSE,Rotwein,4.50,,
73752,Rosso Terre di Toscana 75 cl,Einzeln,Wein,FALSE,Rotwein,7.20,,
88408,Salvagnin 50 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,4.90,,
82128,San Pellegrino Chino 24 × 33 cl,Pack,Süssgetränke,TRUE,Limonade / Sonstige,,16.50,
82126,San Pellegrino L'Aranc. 24×33cl,Pack,Süssgetränke,TRUE,Limonade / Sonstige,,16.50,
87743,Sauser m.A. Ramseier 6 × 100 cl,Einzeln & Pack,Süssgetränke,FALSE,Most / Sauser,3.25,19.30,
54906,Sauser m.A. Ramseier 6 × 50 cl,Einzeln & Pack,Süssgetränke,TRUE,Most / Sauser,1.85,10.95,
88142,Schafiser weiss 50 cl,Einzeln,Wein,FALSE,Weisswein,5.50,,
64440,Schafiser weiss 75 cl,Einzeln,Wein,FALSE,Weisswein,9.85,,
63381,Schaumwein Volgaz 75 cl,Einzeln,Wein,FALSE,Schaumwein,11.95,,
95394,Schaumwein Volgaz rosé 75 cl,Einzeln,Wein,FALSE,Schaumwein,11.95,,
78099,Schnitzwasser Farmer 6 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,Limonade / Sonstige,1.15,6.90,
85041,Schnitzwasser Farmer 6 × 50 cl,Einzeln & Pack,Süssgetränke,FALSE,Limonade / Sonstige,0.95,5.55,
40901,Somersby Apple 4x33cl,Pack,Bier,FALSE,Cider,,8.95,
88067,St. Saphorin blanc 75 cl,Einzeln,Wein,FALSE,Weisswein,10.30,,
52879,St. Saphorin Petit Ver. 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,18.50,,
77902,Stone Cruz Cabernet 75 cl,Einzeln,Wein,FALSE,Rotwein,4.80,,
78657,Stone Cruz Chardonnay 75 cl,Einzeln,Wein,FALSE,Weisswein,4.80,,
78660,Stone Cruz White Zinfandel 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,4.80,,
77543,Stone Cruz Zinfandel 75cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,4.80,,
38306,Tempranillo Bag-in-Box 3l,Einzeln,Wein,FALSE,Bag-in-Box / Grossgebinde,9.25,,
41743,Traubensaft Farmer rot 4 × 100 cl,Einzeln & Pack,Süssgetränke,FALSE,Saft / Nektar,1.6,6.25,
16869,Triasso Rosso Biologico 75 cl,Pack,Wein,TRUE,Rotwein,8.5,,
68163,Velarino Nero di Troia 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,7.70,,
88085,Villette blanc 75 cl,Einzeln,Wein,FALSE,Weisswein,8.95,,
06995,Vin Grischun GR 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,14.95,,
87319,Vitaminwater Farmer Zitrone 6×50cl,Einzeln & Pack,Süssgetränke,FALSE,Limonade / Sonstige,0.75,4.50,
113710,Weissbier Paulaner 24x50cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,26.95,
87252,Weizenbier Maisels 4x50cl,Pack,Bier,FALSE,Weizenbier,,6.60,
88113,Yvorne blanc 75 cl,Einzeln,Wein,FALSE,Weisswein,12.50,,
88362,Zürcher Clevner 75 cl,Einzeln,Wein,FALSE,Rotwein,7.75,,
88490,Zweigelt 75 cl,Einzeln,Wein,FALSE,Rotwein,4.30,,
91134,Bier Eichhof o.A. 0.0% 10 × 33 cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,10.70,
74766,Bier Feld. o.A. 15 × 33 cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,16.90,
66216,Bier Feld. o.A. Dose 15 × 50 cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,24.95,
87315,Bier Feld. o.A. MW 50 cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,1.70,,harasse noch in abklärung
15102,Bier Feld. Peach 0.0 6 × 50 cl,Pack,Bier,FALSE,Biermix (aromatisiert),,10.95,
97498,Bier Feld. Zitrone 0.0% 8 × 50 cl,Pack,Bier,FALSE,Biermix (aromatisiert),,13.50,
113709,Bier Moretti zero 15 × 33 cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,14.95,
102410,Bier Moretti zero 6 × 50 cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,12.70,
104768,Bier Quöllfrisch o.A. 15 × 33 cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,15.95,
104751,Bilz Stellare Aranc. 0.0 6 × 33 cl,Pack,Bier,FALSE,Radler / Panaché,,9.30,
109337,Bilz Stellare Limone 0.0 6 × 33 cl,Pack,Bier,FALSE,Radler / Panaché,,9.30,
106875,Big Beltie Cab. Sauvignon 75 cl,Einzeln,Wein,FALSE,Rotwein,9.95,,
57218,Bschorle EW 6 × 33 cl,Pack,Bier,FALSE,Biermix (aromatisiert),,8.40,
52617,Citro Elmer 8 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,Limonade / Sonstige,2.00,15.80,
02721,Citro Elmer 6 × 50 cl,Einzeln & Pack,Süssgetränke,FALSE,Limonade / Sonstige,1.35,8.10,
109453,Cuvée Rouge CH 50 cl VdP Schweiz,Einzeln,Wein,FALSE,Rotwein,3.95,,
101743,Energy Drink Farmer Dose 24 × 25 cl,Einzeln & Pack,Mate/Energy,FALSE,Energy Drink,0.40,9.40,
101794,Energy Drink Farmer s.f. 24 × 25 cl,Einzeln & Pack,Mate/Energy,FALSE,Energy Drink,0.40,9.40,
103976,Farmer Mate 6 × 33 cl,Einzeln & Pack,Mate/Energy,FALSE,Mate,1.00,5.95,
114544,Farmer Mate zéro Dose 6 × 33 cl,Einzeln & Pack,Mate/Energy,FALSE,Mate,1.00,5.95,
111438,Fatascia Syrah 75 cl,Einzeln,Wein,FALSE,Rotwein,11.50,,
110898,Féchy AOC La Côte 50 cl,Einzeln,Wein,FALSE,Weisswein,5.70,,
110372,Féchy blanc 75 cl,Einzeln,Wein,FALSE,Weisswein,7.95,,
100062,Grapefruit Farmer zéro 6×50cl,Einzeln & Pack,Süssgetränke,FALSE,Limonade / Sonstige,0.55,3.20,
114618,Lemanic Rouge 75 cl,Einzeln,Wein,FALSE,Rotwein,5.70,,
101143,Moscato Aresca 75 cl,Einzeln,Wein,FALSE,Schaumwein,5.95,,
87602,Mountain Twister o.A. 8×33cl,Pack,Bier,FALSE,Biermix (aromatisiert),,10.90,
103082,Multi-ACE Farmer 6 × 100 cl,Einzeln & Pack,Süssgetränke,FALSE,Saft / Nektar,1.45,8.50,
68903,Oran Soda 24 × 33 cl,Pack,Süssgetränke,FALSE,Limonade / Sonstige,,15.95,
100060,Orange Farmer zéro 6 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,Limonade / Sonstige,0.60,3.55,
100064,Orange Farmer zéro 6 × 50 cl,Einzeln & Pack,Süssgetränke,FALSE,Limonade / Sonstige,0.55,3.20,
